title,author,price_sale,sale,price_regular,rating,reviewers,img_url,url
Tủ Sách Béw Vào Lớp Một - Bé Tập Tô Nét Cơ...,Lê Tuệ Minh - Lê Thu Ngọc,7600,5,8000,4.9,32,https://salt.tikicdn.com/cache/280x280/ts/product/16/a5/9f/d845f7b5e0873d6b7933a1b6ae0f5662.jpg,https://tiki.vn/tu-sach-bew-vao-lop-mot-be-tap-to-net-co-ban-danh-cho-be-4-5-tuoi-p6640311.html?spid=31515201&src=category-page-8322&2hi=0
Con Đường Hồi Giáo (Tái Bản 2020),Nguyễn Phương Mai,64899,35,100000,4.5,18,https://salt.tikicdn.com/cache/280x280/ts/product/1c/87/36/5647cc86c2dc792a3badacfb7132b5a4.jpg,https://tiki.vn/con-duong-hoi-giao-tai-ban-2020-p52329861.html?spid=52329862&src=category-page-8322&2hi=0
Tsubasa - Giấc Mơ Sân Cỏ - Tập 1: Vươn Tới...,Yoichi Takahashi,18325,8,20000,5.0,11,https://salt.tikicdn.com/cache/280x280/ts/product/66/e9/bb/0e5204693b1b2323605c4686f230025e.jpg,https://tiki.vn/tsubasa-giac-mo-san-co-tap-1-vuon-toi-troi-cao-p57177026.html?spid=57450840&src=category-page-8322&2hi=0
Sách ehon - Set 4 cuốn Tớ là em bé ngoan -...,Misaki Kirimaru,156000,0,0,5.0,1,https://salt.tikicdn.com/cache/280x280/ts/product/ce/a8/38/c03a9c986b40004b4b7bf0304527d0ab.jpg,https://tiki.vn/sach-ehon-set-4-cuon-to-la-em-be-ngoan-danh-cho-tre-tu-2-tuoi-p56373209.html?spid=56763032&src=category-page-8322&2hi=0
Check Your English Vocabulary For Ielts,Rawdon Wyatt,87480,30,125000,4.8,37,https://salt.tikicdn.com/cache/280x280/ts/product/ea/be/78/bfddd3590adfb3b3901fe77ed7caaa39.jpg,https://tiki.vn/check-your-english-vocabulary-for-ielts-p11718089.html?spid=24825557&src=category-page-8322&2hi=0
"Nhắn Gửi Một Tôi, Người Đã Yêu Em - Quà Tặng...",Otono Yomoji,102400,20,128000,5.0,4,https://salt.tikicdn.com/cache/280x280/ts/product/47/60/bc/c0b3119f7d673bf43a432a1f0be42758.jpg,https://tiki.vn/nhan-gui-mot-toi-nguoi-da-yeu-em-qua-tang-2-bookmark-1-postcard-so-luong-gioi-han-p57905699.html?spid=57905700&src=category-page-8322&2hi=0
Mười Người Da Đen Nhỏ,Agatha Christie,58890,31,85000,4.6,175,https://salt.tikicdn.com/cache/280x280/media/catalog/product/n/x/nxbtrestoryfull_29422016_044231.u2769.d20170301.t144840.913960_2.jpg,https://tiki.vn/muoi-nguoi-da-den-nho-p585165.html?spid=585335&src=category-page-8322&2hi=0
Tập Viết Chữ Hán Theo Giáo Trình Hán Ngữ Mới...,The Zhishi,66000,25,88000,4.4,45,https://salt.tikicdn.com/cache/280x280/ts/product/18/2d/ba/f3e79e2ea574e5b0d3c9f25adaf1e996.jpg,https://tiki.vn/tap-viet-chu-han-theo-giao-trinh-han-ngu-moi-but-bay-mau-kem-ca-va-3-ngoi-p8511742.html?spid=11220652&src=category-page-8322&2hi=0
KPI - Thước Đo Mục Tiêu Trọng Yếu,David Parmenter,156000,20,195000,4.7,52,https://salt.tikicdn.com/cache/280x280/ts/product/36/fe/73/8d3070ed8563d2543ae310c6c998da6f.png,https://tiki.vn/kpi-thuoc-do-muc-tieu-trong-yeu-p8090211.html?spid=8090212&src=category-page-8322&2hi=0
Vĩ Đại Do Lựa Chọn (Tái Bản),Jim Collins,75891,48,145000,4.4,8,https://salt.tikicdn.com/cache/280x280/ts/product/ef/fd/71/1aa0919684522607e8aeb5708f081b7e.jpg,https://tiki.vn/vi-dai-do-lua-chon-tai-ban-p8835539.html?spid=8835540&src=category-page-8322&2hi=0
